Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
Att Revier,"Oslo City Centre, Oslo",Chambre Double Standard,1 lit double,"8,7",650 expériences vécues,"1 nuit, 1 adulte",,€ 208
Voksenasen Hotell; Best Western Signature Collection,"Holmenkollen, Oslo",Chambre Simple Standard,1 lit simple,"8,1",908 expériences vécues,"1 nuit, 1 adulte",,€ 81
Frogner House - Nationaltheatret,"Oslo City Centre, Oslo",Studio,1 lit simple,"7,8",1 144 expériences vécues,"1 nuit, 1 adulte",,€ 139
Anker Apartment – Grünerløkka,"Grünerløkka, Oslo", Studio pour 2 Personnes,2 lits simples,"7,4",6 614 expériences vécues,"1 nuit, 1 adulte",,€ 90
Clarion Collection Hotel Folketeateret,"Oslo City Centre, Oslo",Chambre Simple Standard avec Repas du Soir,1 lit simple,"8,1",1 302 expériences vécues,"1 nuit, 1 adulte",,€ 185€ 172-7 %
Scandic Oslo City,"Oslo City Centre, Oslo",Chambre Simple Standard,1 lit simple,"8,0",55 expériences vécues,"1 nuit, 1 adulte",,€ 218
Scandic Vulkan,"Grünerløkka, Oslo",Chambre Standard Lit Queen-Size,1 lit double,"7,8",1 167 expériences vécues,"1 nuit, 1 adulte",,€ 187
DFDS Ferry - Oslo to Copenhagen,"Oslo City Centre, Oslo",Cabine Économique,4 lits superposés,"8,6",195 expériences vécues,"1 nuit, 1 adulte",,€ 66
Thon Hotel Terminus,"Oslo City Centre, Oslo",Chambre Simple Standard,1 lit simple,"8,3",444 expériences vécues,"1 nuit, 1 adulte",,€ 195
Comfort Hotel Grand Central,"Oslo City Centre, Oslo",Chambre Double Basique,1 lit double,"7,7",1 461 expériences vécues,"1 nuit, 1 adulte",,€ 194€ 180-7 %
Kollen Slottet,"Holmenkollen, Oslo",Chambre Simple,Plusieurs types de lits,"8,5",229 expériences vécues,"1 nuit, 1 adulte",,€ 76
Thon Hotel Gyldenløve,"Frogner, Oslo",Chambre Double Standard,1 grand lit double,"7,9",598 expériences vécues,"1 nuit, 1 adulte",,€ 168
Clarion Collection Hotel Savoy,"Oslo City Centre, Oslo",Chambre Simple Standard avec Repas du Soir,1 lit simple,"7,6",908 expériences vécues,"1 nuit, 1 adulte",,€ 170€ 158-7 %
Camillas Hus,"Frogner, Oslo",Chambre Simple,1 lit simple,"9,6",587 expériences vécues,"1 nuit, 1 adulte",,€ 181
Thon Hotel Linne,Oslo,Chambre Double Standard,1 lit double,"7,7",644 expériences vécues,"1 nuit, 1 adulte",,€ 110
"Central luxury room in Herat of Oslo, Majorstuen","Frogner, Oslo",Chambre Double Deluxe,1 grand lit double,"6,8",4 expériences vécues,"1 nuit, 1 adulte",,€ 80
"Super Stay Hotel, Oslo","Gamle Oslo, Oslo",Chambre Simple,1 lit simple,"7,2",998 expériences vécues,"1 nuit, 1 adulte",,€ 135
Scandic Byporten,"Oslo City Centre, Oslo",Chambre Double Standard,1 lit double,"7,9",2 521 expériences vécues,"1 nuit, 1 adulte",,€ 174
Oslo center 2,"Grünerløkka, Oslo",Appartement 1 Chambre,Hébergement géré par un particulier,"6,1",81 expériences vécues,"1 nuit, 1 adulte",,€ 80
Frogner House - Bygdøy Allé,"Frogner, Oslo",Studio Simple,1 lit simple,"8,0",1 149 expériences vécues,"1 nuit, 1 adulte",,€ 120
Scandic Helsfyr,"Gamle Oslo, Oslo",Chambre Standard Lit Queen-Size,1 grand lit double,"8,3",842 expériences vécues,"1 nuit, 1 adulte",,€ 114
Sommerro,"Frogner, Oslo",Chambre Lit King-Size Supérieure,1 grand lit double,"8,7",533 expériences vécues,"1 nuit, 1 adulte",,€ 299
Scandic Karl Johan,"Oslo City Centre, Oslo",Chambre Double,1 grand lit double,"7,1",2 149 expériences vécues,"1 nuit, 1 adulte",,€ 199
Scandic Victoria,"Oslo City Centre, Oslo",Chambre Lits Jumeaux Standard,2 lits simples,"7,6",2 915 expériences vécues,"1 nuit, 1 adulte",,€ 195
Thon Hotel Europa,"Oslo City Centre, Oslo",Chambre Double Standard,1 lit double,"8,6",609 expériences vécues,"1 nuit, 1 adulte",,€ 178
Private room in heart of Oslo Grunerløkka,"Grünerløkka, Oslo",Chambre Double avec Salle de Bains Commune,Hébergement géré par un particulier,"8,2",32 expériences vécues,"1 nuit, 1 adulte",,€ 71
Saga Hotel Oslo; BW Premier Collection,"Frogner, Oslo",Chambre Simple Standard,1 lit simple,"8,6",2 346 expériences vécues,"1 nuit, 1 adulte",,€ 158
Hotel Filip,"Frogner, Oslo",Appartement Standard,1 grand lit double,"8,2",985 expériences vécues,"1 nuit, 1 adulte",,€ 128
