Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
Beethoven Apartment,"Staré Mesto, Bratislava",Appartement,Hébergement géré par un particulier,"8,0",70 expériences vécues,"1 nuit, 1 adulte",,€ 85€ 78-8 %
APLEND CITY Hotel Perugia,"Staré Mesto, Bratislava",Chambre Double Premium,Types de lits : 1 lit double ou 2 lits simples,"9,0",1 531 expériences vécues,"1 nuit, 1 adulte",,€ 180€ 142-21 %
Hotel West,"Nove Mesto, Bratislava",Chambre Double Économique,1 grand lit double,"8,0",670 expériences vécues,"1 nuit, 1 adulte",,€ 68€ 63-8 %
KLINGER Downtown Central City High Floor,"Ruzinov, Bratislava",Appartement 1 Chambre,"2 lits (1 très grand lit double, 1 canapé-lit)","9,1",29 expériences vécues,"1 nuit, 1 adulte",,€ 189€ 175-8 %
Smart & Green Living by Ambiente,"Staré Mesto, Bratislava",Appartement Économique,"2 lits (1 canapé-lit, 1 grand lit double)","8,6",430 expériences vécues,"1 nuit, 1 adulte",,€ 143€ 106-26 %
W Hotel,Bratislava,Chambre Double,1 grand lit double,"8,7",1 177 expériences vécues,"1 nuit, 1 adulte",,€ 131€ 85-35 %
SKY PARK Central City Downtown,"Staré Mesto, Bratislava",Appartement 1 Chambre,"2 lits (1 très grand lit double, 1 canapé-lit)","9,2",79 expériences vécues,"1 nuit, 1 adulte",,€ 202€ 186-8 %
Bajka 09 -Self Check - Free parking,"Nove Mesto, Bratislava",Appartement avec Balcon,"4 lits (2 lits simples, 2 canapés-lits)","8,5",57 expériences vécues,"1 nuit, 1 adulte",,€ 210€ 198-6 %
Metropolitan Star Apart Hotel,"Staré Mesto, Bratislava",Studio,1 grand lit double,"9,1",3 353 expériences vécues,"1 nuit, 1 adulte",,€ 126€ 116-8 %
Penzión Helios,Bratislava,Chambre Simple,1 lit simple,"8,4",251 expériences vécues,"1 nuit, 1 adulte",,€ 67
Hotel Remy,"Nove Mesto, Bratislava",Chambre Simple,1 lit simple,"7,9",733 expériences vécues,"1 nuit, 1 adulte",,€ 46
StadiumSide Studio,"Nove Mesto, Bratislava",Appartement 1 Chambre,Hébergement géré par un particulier,"7,3",11 expériences vécues,"1 nuit, 1 adulte",,€ 73€ 70
Elephants Apartments,"Staré Mesto, Bratislava",Appartement 1 Chambre,"2 lits (1 canapé-lit, 1 grand lit double)","9,1",41 expériences vécues,"1 nuit, 1 adulte",,€ 127€ 117-8 %
Hostel Old Town,"Staré Mesto, Bratislava",Chambre Familiale,"2 lits (1 lit superposé, 1 grand lit double)","8,1",732 expériences vécues,"1 nuit, 1 adulte",,€ 98
7thHeaven centre suite FREE PARKING in the building,"Staré Mesto, Bratislava",Appartement 1 Chambre,Hébergement géré par un particulier,10,5 expériences vécues,"1 nuit, 1 adulte",,€ 219€ 202-8 %
Luxury Grand Apartments,"Petrzalka, Bratislava",Appartement 1 Chambre,"2 lits (1 canapé-lit, 1 grand lit double)",10,25 expériences vécues,"1 nuit, 1 adulte",,€ 157€ 130-17 %
LAM Pink with Jacuzzi & PS4,"Staré Mesto, Bratislava",Appartement 2 Chambres,"3 lits (2 très grands lits doubles, 1 canapé-lit)","9,0",31 expériences vécues,"1 nuit, 1 adulte",,€ 197€ 184-7 %
TIFFANY Apartment Hotel,"Ruzinov, Bratislava",Appartement 1 Chambre,"2 lits (1 canapé-lit, 1 grand lit double)","9,1",331 expériences vécues,"1 nuit, 1 adulte",,€ 123
Bratislava design apartment,"Nove Mesto, Bratislava",Appartement,"4 lits (2 lits simples, 1 canapé-lit, 1 grand lit double)","9,8",203 expériences vécues,"1 nuit, 1 adulte",,€ 116€ 107-8 %
City Lights Apartment with Terrace - 24 Hours Check in,"Ruzinov, Bratislava",Appartement 1 Chambre,Hébergement géré par un particulier,"8,7",118 expériences vécues,"1 nuit, 1 adulte",,€ 103€ 95-8 %
Air-Conditioned Apartment Šancová - Old Town,"Staré Mesto, Bratislava",Appartement avec Balcon,Hébergement géré par un particulier,"7,5",51 expériences vécues,"1 nuit, 1 adulte",,€ 115€ 106-8 %
Apollis Business&Budget by Ambiente,"Ruzinov, Bratislava",Appartement Économique 1 Chambre,"2 lits (1 canapé-lit, 1 grand lit double)","8,1",182 expériences vécues,"1 nuit, 1 adulte",,€ 111€ 87-21 %
Dominant Suite Studio Hostel,"Petrzalka, Bratislava",Chambre Quadruple avec Terrasse ,"6 lits (3 lits simples, 3 lits superposés)","7,2",69 expériences vécues,"1 nuit, 1 adulte",,€ 102
Business & Family Ambiente Apartments,"Staré Mesto, Bratislava",Studio Deluxe,"2 lits (1 canapé-lit, 1 grand lit double)","8,4",319 expériences vécues,"1 nuit, 1 adulte",,€ 125€ 99-21 %
Spa & Pool Apartment Hotel - Restaurant VILLA IVICA,Bratislava,Studio Apartment Economy,1 lit simple,"7,9",353 expériences vécues,"1 nuit, 1 adulte",,€ 58€ 53-8 %
Arcadia Boutique Hotel,"Staré Mesto, Bratislava",Chambre Double ou Lits Jumeaux Exécutive,Plusieurs types de lits,"9,1",2 009 expériences vécues,"1 nuit, 1 adulte",,€ 155€ 143-8 %
1 st may plaza de luxe,"Staré Mesto, Bratislava",Appartement 1 Chambre,Hébergement géré par un particulier,"7,5",71 expériences vécues,"1 nuit, 1 adulte",,€ 65€ 60-8 %
Hotel Prim,"Nove Mesto, Bratislava",Chambre Double ou Lits Jumeaux,Types de lits : 1 lit double ou 2 lits simples,"7,6",737 expériences vécues,"1 nuit, 1 adulte",,€ 47
HOTEL JURKI DOM,"Ruzinov, Bratislava",Grande Chambre Double ou Lits Jumeaux,1 grand lit double,"4,2",279 expériences vécues,"1 nuit, 1 adulte",,€ 53€ 49-8 %
"Krásny moderný 1-izbový byt, novostavba + parking","Petrzalka, Bratislava",Studio,Hébergement géré par un particulier,"8,9",167 expériences vécues,"1 nuit, 1 adulte",,€ 56€ 51-8 %
Beethoven Apartments,"Staré Mesto, Bratislava",Studio,1 canapé-lit,"6,7",92 expériences vécues,"1 nuit, 1 adulte",,€ 88€ 69-21 %
BIVIO hotel,"Rača, Bratislava",Chambre Double ou Lits Jumeaux,Types de lits : 1 lit double ou 2 lits simples,"8,8",324 expériences vécues,"1 nuit, 1 adulte",,€ 60€ 55-8 %
Roset Hotel & Residence,"Staré Mesto, Bratislava",Suite Exécutive,1 très grand lit double,"9,2",1 232 expériences vécues,"1 nuit, 1 adulte",,€ 144€ 132-8 %
Danube Riverside Apartment,"Staré Mesto, Bratislava",Appartement 1 Chambre,Hébergement géré par un particulier,"9,3",3 expériences vécues,"1 nuit, 1 adulte",,€ 87€ 69-21 %
Plaza De Luxe,"Staré Mesto, Bratislava",Appartement 1 Chambre,1 lit double,"8,4",20 expériences vécues,"1 nuit, 1 adulte",,€ 70€ 65-8 %
Penzion Jarka,"Ruzinov, Bratislava",Chambre Lits Jumeaux,2 lits simples,"8,5",864 expériences vécues,"1 nuit, 1 adulte",,€ 59€ 55-8 %
Castle Cozy Apartment,"Staré Mesto, Bratislava",Appartement 1 Chambre,Hébergement géré par un particulier,"9,8",5 expériences vécues,"1 nuit, 1 adulte",,€ 76€ 70-8 %
Tomato Apartment,Bratislava,Appartement 1 Chambre,"2 lits (1 lit double, 1 canapé-lit)",,8 commentaires externes,"1 nuit, 1 adulte",,€ 63€ 58-8 %
"Air conditioned 1 room Apartment Vienna Gate, 1",Bratislava,Appartement 1 Chambre,1 lit double,,"1 nuit, 1 adulte",Taxes et frais compris,,€ 76€ 72-5 %
Barok Hotel and Apartments,"Petrzalka, Bratislava",Appartement Standard,2 lits simples,"9,1",187 expériences vécues,"1 nuit, 1 adulte",,€ 103€ 95-8 %
LAM Stadium with 14m2 Terrace,"Nove Mesto, Bratislava",Appartement 1 Chambre,"2 lits (1 canapé-lit, 1 grand lit double)","9,0",3 expériences vécues,"1 nuit, 1 adulte",,€ 94€ 88-6 %
