Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
City Apartment,Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,"9,3",3 expériences vécues,"1 nuit, 1 adulte",,€ 41
Laura apartment,Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,"8,0",6 expériences vécues,"1 nuit, 1 adulte",,€ 70
Adrianna apartment City kvart,Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,"7,9",54 expériences vécues,"1 nuit, 1 adulte",,€ 41
Oksana apartment,Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,"8,3",27 expériences vécues,"1 nuit, 1 adulte",,€ 44
Hostel Izvor,Podgorica,Chambre Triple Économique,"3 lits (1 lit simple, 1 lit double, 1 canapé-lit)","8,0",232 expériences vécues,"1 nuit, 1 adulte",,€ 22€ 21-7 %
Pleasant place near the forest,Podgorica,Appartement 1 Chambre,"2 lits (1 lit double, 1 canapé-lit)","4,0",1 expérience vécue,"1 nuit, 1 adulte",,€ 75
Apartment Stex 2,Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,"9,6",13 expériences vécues,"1 nuit, 1 adulte",,€ 31
Hanna apatment,Podgorica,Appartement 1 Chambre,"2 lits (1 lit double, 1 canapé-lit)","6,0",2 expériences vécues,"1 nuit, 1 adulte",,€ 60
VD Apartment,Podgorica,Studio Standard,Hébergement géré par un particulier,10,8 expériences vécues,"1 nuit, 1 adulte",,€ 34
Angelika apartment,Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,,"1 nuit, 1 adulte",Taxes et frais compris,,€ 60
Big apartment 2,Podgorica,Appartement 2 Chambres,Hébergement géré par un particulier,"6,5",4 expériences vécues,"1 nuit, 1 adulte",,€ 126
Selena apartment,Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,"7,4",25 expériences vécues,"1 nuit, 1 adulte",,€ 45
Codra relax apartment,Podgorica,Appartement 2 Chambres,Hébergement géré par un particulier,"5,0",2 expériences vécues,"1 nuit, 1 adulte",,€ 46
Ania apartment,Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,"6,8",18 expériences vécues,"1 nuit, 1 adulte",,€ 40
Apartman Stex,Podgorica,Studio Standard,Hébergement géré par un particulier,"8,9",38 expériences vécues,"1 nuit, 1 adulte",,€ 31
Apartman Tološi,Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,"9,5",76 expériences vécues,"1 nuit, 1 adulte",,€ 22
5 star apartment,Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,"7,9",27 expériences vécues,"1 nuit, 1 adulte",,€ 60
Apartman Tolosi 2,Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,"9,2",65 expériences vécues,"1 nuit, 1 adulte",,€ 21
Comfort one bedroom apartment,Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,"7,8",52 expériences vécues,"1 nuit, 1 adulte",,€ 50
Apartment Studio Center,Podgorica,Studio,Hébergement géré par un particulier,"8,8",106 expériences vécues,"1 nuit, 1 adulte",,€ 46
Apartman Podgorica,Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,"9,1",27 expériences vécues,"1 nuit, 1 adulte",,€ 29
Apartmani Breze,Podgorica,Studio,Hébergement géré par un particulier,"9,2",148 expériences vécues,"1 nuit, 1 adulte",,€ 21
Stan u centru,Podgorica,Appartement avec Balcon,Hébergement géré par un particulier,"9,3",73 expériences vécues,"1 nuit, 1 adulte",,€ 41
Apartment Vesna City PG,Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,"9,4",144 expériences vécues,"1 nuit, 1 adulte",,€ 36
Apartment Biljana,Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,,"1 nuit, 1 adulte",Taxes et frais compris,,€ 46
Maya,Podgorica,Appartement 2 Chambres,Hébergement géré par un particulier,,"1 nuit, 1 adulte",Taxes et frais compris,,€ 45€ 38-15 %
Podgorica 23,Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,,"1 nuit, 1 adulte",Taxes et frais compris,,€ 41€ 35-15 %
Central house,Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,,"1 nuit, 1 adulte",Taxes et frais compris,,€ 27
Maya,Podgorica,Appartement 2 Chambres,Hébergement géré par un particulier,,"1 nuit, 1 adulte",Taxes et frais compris,,€ 41
Vila Komani,Podgorica,Maison 1 Chambre,Hébergement géré par un particulier,,"1 nuit, 1 adulte",Taxes et frais compris,,€ 101€ 76-25 %
VILA KOMANI,Podgorica,Maison 1 Chambre,Hébergement géré par un particulier,,"1 nuit, 1 adulte",Taxes et frais compris,,€ 101€ 76-25 %
Gold apartman,Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,,"1 nuit, 1 adulte",Taxes et frais compris,,€ 37
1-bedroom apartment in urban area,Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,10,2 expériences vécues,"1 nuit, 1 adulte",,€ 46
Thousand Roses,Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,10,1 expérience vécue,"1 nuit, 1 adulte",,€ 46
Central Park Rooms,Podgorica,Chambre Double avec Salle de Bains Commune,1 très grand lit double,"6,7",3 expériences vécues,"1 nuit, 1 adulte",,€ 24
Lepa kata,Podgorica,Appartement 1 Chambre,"4 lits (1 lit double, 1 lit superposé, 2 canapés-lits)",,"1 nuit, 1 adulte",Taxes et frais compris,,€ 49€ 42-15 %
Apartments Pedja,Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,10,1 expérience vécue,"1 nuit, 1 adulte",,€ 36
capital rooms,Podgorica,Chambre Lits Jumeaux,Hébergement géré par un particulier,,"1 nuit, 1 adulte",Taxes et frais compris,,€ 32
Apartman TIha noć,Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,10,1 expérience vécue,"1 nuit, 1 adulte",,€ 41
Slatki kutak,Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,,"1 nuit, 1 adulte",Taxes et frais compris,,€ 34
Vukovi,Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,"1,0",1 expérience vécue,"1 nuit, 1 adulte",,€ 31
Beko City,Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,"7,0",1 expérience vécue,"1 nuit, 1 adulte",,€ 41
Apartment Stari Aerodrom,Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,"9,0",2 expériences vécues,"1 nuit, 1 adulte",,€ 33
City Center Lux Highrise,Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,"9,0",1 expérience vécue,"1 nuit, 1 adulte",,€ 43
Apartman LEONE 2,Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,10,2 expériences vécues,"1 nuit, 1 adulte",,€ 38
Tiramisu City Center,Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,"9,5",2 expériences vécues,"1 nuit, 1 adulte",,€ 46
The Swanky Suite,Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,"9,0",2 expériences vécues,"1 nuit, 1 adulte",,€ 41
Apartman LEONE,Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,"9,6",5 expériences vécues,"1 nuit, 1 adulte",,€ 36
Apartman Stari Aerodrom Podgorica,Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,,"1 nuit, 1 adulte",Taxes et frais compris,,€ 41
City Nest apartment,Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,10,4 expériences vécues,"1 nuit, 1 adulte",,€ 63
Apartman City Kvart,Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,"9,5",2 expériences vécues,"1 nuit, 1 adulte",,€ 32
"Jednosoban stan, Stari Aerodrom",Podgorica,Appartement 1 Chambre,Hébergement géré par un particulier,"1,0",1 expérience vécue,"1 nuit, 1 adulte",,€ 25
