Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
Athens Comfort,"Athens City Centre, Athènes",Suite Junior,"2 lits (1 canapé-lit, 1 grand lit double)","8,7",668 expériences vécues,"1 nuit, 1 adulte",,€ 71
Furla Suites Athens,"Syntagma, Athènes",Studio Double Deluxe,Hébergement géré par un particulier,"7,6",191 expériences vécues,"1 nuit, 1 adulte",,€ 66
Moxy Athens City,"Athens City Centre, Athènes",Chambre Lit Queen-Size - Vue Limitée,1 grand lit double,"8,7",309 expériences vécues,"1 nuit, 1 adulte",,€ 105
Acropolis Select,"Koukaki, Athènes",Chambre Simple,1 lit simple,"8,2",2 728 expériences vécues,"1 nuit, 1 adulte",,€ 100
Socrates Hotel,"Athens City Centre, Athènes",Chambre Simple,1 lit simple,"7,0",1 707 expériences vécues,"1 nuit, 1 adulte",,€ 33
Athenaeum Smart Hotel,"Néos Kósmos, Athènes",,,"8,0",608 expériences vécues,"1 nuit, 1 adulte",,€ 60
Emporikon Athens Hotel,"Monastiráki, Athènes",Chambre Basique - Vue sur Ville,1 grand lit double,"8,9",960 expériences vécues,"1 nuit, 1 adulte",,€ 119
Urban Frame Acropolis,"Athens City Centre, Athènes",Chambre Double Classique - Vue sur Ville,1 lit double,"8,2",153 expériences vécues,"1 nuit, 1 adulte",,"€ 96€ 77
-20 %"
The Newel Acropolis,"Kallimarmaro, Athènes",Suite Deluxe,1 grand lit double,"8,5",1 016 expériences vécues,"1 nuit, 1 adulte",,€ 111
1900 ATHENIAN HOUSE,Athènes,Chambre Double Standard,1 lit double,"8,4",784 expériences vécues,"1 nuit, 1 adulte",,€ 58
Palladian Home,"Pláka, Athènes",Chambre Double Standard,1 grand lit double,"8,7",684 expériences vécues,"1 nuit, 1 adulte",,€ 86
Hotel Lido,"Athens City Centre, Athènes",Chambre Double Économique,Types de lits : 1 lit double ou 2 lits simples,"6,2",777 expériences vécues,"1 nuit, 1 adulte",,€ 31
Breeze Boutique Athens,"Athens City Centre, Athènes",Chambre Double ou Lits Jumeaux Standard,Types de lits : 1 lit double ou 2 lits simples,"8,5",2 175 expériences vécues,"1 nuit, 1 adulte",,"€ 69€ 55
-20 %"
GK Athens,"Syntagma, Athènes",Appartement Deluxe,"2 lits (1 canapé-lit, 1 grand lit double)","8,0",865 expériences vécues,"1 nuit, 1 adulte",,€ 85
Athens Capital Center Hotel - MGallery Collection,"Syntagma, Athènes",Chambre Lit Queen-Size Classique,1 grand lit double,"9,0",1 510 expériences vécues,"1 nuit, 1 adulte",,€ 220
Athens Choice Hotel,"Athens City Centre, Athènes",Chambre Simple,1 lit simple,"7,5",3 058 expériences vécues,"1 nuit, 1 adulte",,€ 38
Tins Boutique Suites,"Athens City Centre, Athènes",Chambre Double,1 lit double,"8,3",429 expériences vécues,"1 nuit, 1 adulte",,"€ 86€ 73
-14 %"
