Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
Downtown Beauty Twins Apartment,"Lower Town, Zagreb",Studio,Hébergement géré par un particulier,"9,8",42 expériences vécues,"1 nuit, 1 adulte",,"€ 195€ 182
-7 %"
Livris Hotel,Zagreb,Chambre Simple - Annexe,1 lit simple,"9,2",1 758 expériences vécues,"1 nuit, 1 adulte",,€ 102
Hotel Jarun,"Jarun, Zagreb",Chambre Double,1 très grand lit double,"9,4",1 812 expériences vécues,"1 nuit, 1 adulte",,"€ 159€ 140
-12 %"
Rooms Butković,Zagreb,Chambre Double Confort avec Salle de Bains,Hébergement géré par un particulier,"9,3",312 expériences vécues,"1 nuit, 1 adulte",,€ 57
Montevideo Deluxe Apartments,"Lower Town, Zagreb",Studio,1 grand lit double,"8,6",228 expériences vécues,"1 nuit, 1 adulte",,€ 90
Hostel Centar,"Upper Town – Medvescak, Zagreb",Lit Simple dans Dortoir de 4 Lits,1 lit simple,"7,5",330 expériences vécues,"1 nuit, 1 adulte",,€ 46
Indigo Centar,"Lower Town, Zagreb",Chambre Lit Queen-Size Deluxe,Hébergement géré par un particulier,"9,0",582 expériences vécues,"1 nuit, 1 adulte",,€ 77
Metropolis Apartments,"Lower Town, Zagreb",Studio,Hébergement géré par un particulier,"8,9",267 expériences vécues,"1 nuit, 1 adulte",,€ 68
Hotel AS,"Upper Town – Medvescak, Zagreb",Chambre Deluxe Double ou Lits Jumeaux,1 très grand lit double,"9,0",819 expériences vécues,"1 nuit, 1 adulte",,€ 120
Villa Zoki - soba dnevni najam,Zagreb,Chambre Deluxe Double ou Lits Jumeaux,Hébergement géré par un particulier,"9,0",195 expériences vécues,"1 nuit, 1 adulte",,€ 38
Guest House Ilicki Plac,"Zagreb City Centre, Zagreb",Chambre Double Deluxe avec Douche,Hébergement géré par un particulier,"9,5",175 expériences vécues,"1 nuit, 1 adulte",,€ 92
Swanky Bed & Breakfast,"Lower Town, Zagreb",Deluxe Double Room (2 Adults + 1 Child) - Ilica street 44,"2 lits (1 canapé-lit, 1 grand lit double)","8,8",302 expériences vécues,"1 nuit, 1 adulte",,€ 104
Apartment Ferk,"Lower Town, Zagreb",Studio,Hébergement géré par un particulier,"9,4",134 expériences vécues,"1 nuit, 1 adulte",,€ 55
Palace Apartments by ZGrent,"Lower Town, Zagreb",Appartement Supérieur,Hébergement géré par un particulier,"8,3",220 expériences vécues,"1 nuit, 1 adulte",,€ 110
My Way House,"Lower Town, Zagreb",Chambre Double ou Lits Jumeaux avec Salle de Bains,1 lit double,"7,6",93 expériences vécues,"1 nuit, 1 adulte",,€ 47
Guesthouse Lessi,"Upper Town – Medvescak, Zagreb",Studio avec Balcon ,"3 lits (2 lits simples, 1 canapé-lit)","8,3",512 expériences vécues,"1 nuit, 1 adulte",,"€ 85€ 72
-15 %"
2 on seven,"Lower Town, Zagreb",Appartement avec Balcon,Hébergement géré par un particulier,"8,8",274 expériences vécues,"1 nuit, 1 adulte",,€ 87
Marinac Apartment,"Upper Town – Medvescak, Zagreb",Studio,Hébergement géré par un particulier,"8,1",103 expériences vécues,"1 nuit, 1 adulte",,€ 60
King's Street Apartments,"Lower Town, Zagreb",Studio,"2 lits (1 canapé-lit, 1 grand lit double)","8,4",271 expériences vécues,"1 nuit, 1 adulte",,€ 94
KAPTOL Rooms,"Upper Town – Medvescak, Zagreb",Chambre Lits Jumeaux avec Salle de Bains Commune,2 lits simples,"8,4",824 expériences vécues,"1 nuit, 1 adulte",,€ 64
Hotel Vienna,Zagreb,Chambre Double ou Lits Jumeaux,Types de lits : 1 lit double ou 2 lits simples,"7,5",767 expériences vécues,"1 nuit, 1 adulte",,€ 74
Doma Zagreb Aparthotel,"Lower Town, Zagreb",Appartement,"2 lits (1 très grand lit double, 1 canapé-lit)","8,7",428 expériences vécues,"1 nuit, 1 adulte",,€ 104
Rooms and Apartments Glossy,"Lower Town, Zagreb",Studio,Hébergement géré par un particulier,"9,1",455 expériences vécues,"1 nuit, 1 adulte",,€ 72
MAGIC GARDEN ZAGREB CENTER,"Lower Town, Zagreb",Appartement,1 grand lit double,"8,5",298 expériences vécues,"1 nuit, 1 adulte",,€ 62
Cosy Studio Apartment 2,"Lower Town, Zagreb",Studio,Hébergement géré par un particulier,"9,7",87 expériences vécues,"1 nuit, 1 adulte",,€ 60
Carla Studio Apartment,"Lower Town, Zagreb",Studio,Hébergement géré par un particulier,"8,1",129 expériences vécues,"1 nuit, 1 adulte",,€ 60
Comfortzone Zagreb Center,"Lower Town, Zagreb",Studio,Hébergement géré par un particulier,"8,3",315 expériences vécues,"1 nuit, 1 adulte",,€ 65
Anastasia Apartments & Rooms - Zagreb Centre,"Lower Town, Zagreb",Appartement 2 Chambres - 13 Marulic Square,"2 lits (1 lit double, 1 grand lit double)","8,9",359 expériences vécues,"1 nuit, 1 adulte",,€ 140
Astralis Factory- PULS,"Lower Town, Zagreb",Lit dans Dortoir Mixte de 4 Lits,1 lit simple,"7,9",28 expériences vécues,"1 nuit, 1 adulte",,"€ 40€ 32
-20 %"
Hotel 9,Zagreb,Chambre Double Standard,1 très grand lit double,"9,0",1 834 expériences vécues,"1 nuit, 1 adulte",,"€ 173€ 138
-20 %"
Leptir,Zagreb,Chambre Triple Confort,"2 lits (1 lit simple, 1 lit double)","8,9",481 expériences vécues,"1 nuit, 1 adulte",,€ 66
Palmers Lodge Hostel,"Lower Town, Zagreb",Lit Simple dans Dortoir de 8 Lits,1 lit superposé,"7,8",584 expériences vécues,"1 nuit, 1 adulte",,€ 22
Apartment Marko,Zagreb,Appartement,Hébergement géré par un particulier,"8,0",48 expériences vécues,"1 nuit, 1 adulte",,€ 50
Hotel Diplomat,"Novi Zagreb, Zagreb",Chambre Simple,1 lit simple,"7,7",989 expériences vécues,"1 nuit, 1 adulte",,€ 101
LUMA,"Lower Town, Zagreb",Appartement 1 Chambre,Hébergement géré par un particulier,"9,5",68 expériences vécues,"1 nuit, 1 adulte",,€ 59
Angel Main Square Center Zagreb,"Lower Town, Zagreb",Chambre Deluxe - 1 Rue Bogoviceva,"2 lits (1 canapé-lit, 1 grand lit double)","8,0",393 expériences vécues,"1 nuit, 1 adulte",,€ 105
