Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
2ndhomes Gorgeous 3BR Apartment in 2 floors with Sauna and Balcony by Central Station,"Kluuvi, Helsinki",Appartement avec Terrasse,"5 lits (2 lits simples, 1 canapé-lit, 2 grands lits doubles)","8,2",10 expériences vécues,"1 nuit, 1 adulte",,€ 411€ 386-6 %
2ndhomes Luxurious 144 m2 Stylish 3 Bedroom Center Apartment,"Etu-Töölö, Helsinki",Appartement 3 Chambres,"5 lits (2 lits simples, 3 grands lits doubles)","8,3",23 expériences vécues,"1 nuit, 1 adulte",,€ 421€ 396-6 %
2ndhomes Luxury Helsinki Center 2BR Apartment with Sauna,"Kluuvi, Helsinki",Appartement 2 Chambres,"3 lits (1 canapé-lit, 2 grands lits doubles)","8,9",20 expériences vécues,"1 nuit, 1 adulte",,€ 284€ 267-6 %
2ndhomes Gorgeous 3BR apartment with Sauna By Opera House,"Taka-Töölö, Helsinki",Appartement 3 Chambres,"3 lits (1 lit simple, 2 grands lits doubles)","8,5",18 expériences vécues,"1 nuit, 1 adulte",,€ 284€ 267-6 %
Studio with balcony and wifi at Helsinki,"Alppiharju, Helsinki",Studio 1 Chambre,"2 lits (1 lit simple, 1 lit double)",,"1 nuit, 1 adulte",Taxes et frais compris,,€ 510
2ndhomes Mikonkatu Apartment 3,"Kluuvi, Helsinki",Appartement 3 Chambres,"5 lits (2 lits simples, 1 canapé-lit, 2 grands lits doubles)","7,3",23 expériences vécues,"1 nuit, 1 adulte",,€ 337€ 316-6 %
2ndhomes 1BR apartment with Sauna & Balcony in Kamppi,"Kamppi, Helsinki",Appartement 1 Chambre,"2 lits (1 canapé-lit, 1 grand lit double)","9,0",2 expériences vécues,"1 nuit, 1 adulte",,€ 307€ 286-7 %
2ndhomes Penthouse with Balcony and Sauna,"Kamppi, Helsinki",Appartement 2 Chambres,"3 lits (2 lits doubles, 1 canapé-lit)","8,4",29 expériences vécues,"1 nuit, 1 adulte",,€ 371€ 346-7 %
2ndhomes Cozy Courtyard home with Sauna in Kruununhaka,"Kruununhaka, Helsinki",Appartement 1 Chambre,"3 lits (1 lit simple, 1 canapé-lit, 1 grand lit double)","8,8",14 expériences vécues,"1 nuit, 1 adulte",,€ 219€ 207-5 %
2ndhomes Stunning Top Floor Residence with Sauna and Balcony,"Kamppi, Helsinki",Appartement Supérieur avec Sauna,"4 lits (2 canapés-lits, 2 grands lits doubles)","7,8",41 expériences vécues,"1 nuit, 1 adulte",,€ 284€ 267-6 %
2ndhomes Deluxe 2BR Penthouse with Rooftop Terrace & Sauna in Helsinki Center,"Kamppi, Helsinki",Penthouse,"3 lits (2 lits simples, 1 grand lit double)","8,4",5 expériences vécues,"1 nuit, 1 adulte",,€ 396€ 371-6 %
2ndhomes Luxury 3 BR Brand New 106 m2 Apartment with Spa in Helsinki Center,"Kamppi, Helsinki",Appartement 3 Chambres,"4 lits (1 lit simple, 1 canapé-lit, 2 grands lits doubles)","8,1",22 expériences vécues,"1 nuit, 1 adulte",,€ 391€ 366-7 %
2ndhomes City Center 2BR Kaisaniemi Park Apartment with Balcony,"Kluuvi, Helsinki",Appartement 2 Chambres,"4 lits (2 lits simples, 1 canapé-lit, 1 grand lit double)","7,1",18 expériences vécues,"1 nuit, 1 adulte",,€ 219€ 207-5 %
2ndhomes Unique Two Storey Penthouse with Terrace in Kamppi,"Etu-Töölö, Helsinki",Penthouse,"4 lits (1 canapé-lit, 3 grands lits doubles)","7,4",21 expériences vécues,"1 nuit, 1 adulte",,€ 243€ 227-6 %
Asuntovaunu 2:lle,"Sörnäinen, Helsinki",Chambre Double Économique,Hébergement géré par un particulier,,"1 nuit, 1 adulte",Taxes et frais compris,,€ 126€ 93-26 %
VUOSAARI-2 Pure luxury for 100 m2 in Vuosaari,Helsinki,Appartement,"6 lits (3 lits simples, 3 lits doubles)","8,2",9 expériences vécues,"1 nuit, 1 adulte",,€ 193€ 183-5 %
Helsinki Blue House,Helsinki,Appartement 2 Chambres,Hébergement géré par un particulier,"8,6",5 expériences vécues,"1 nuit, 1 adulte",,€ 126€ 116-8 %
2ndhomes Cozy 44m2 1BR home with best location in Kamppi!,"Kamppi, Helsinki",Appartement 1 Chambre,"2 lits (1 canapé-lit, 1 grand lit double)","8,3",27 expériences vécues,"1 nuit, 1 adulte",,€ 163€ 153-6 %
2ndhomes Lapinlahdenkatu Apartment 2,"Kamppi, Helsinki",Appartement 1 Chambre,"3 lits (1 canapé-lit, 2 grands lits doubles)","8,3",25 expériences vécues,"1 nuit, 1 adulte",,€ 163€ 153-6 %
2ndhomes Bright and Cozy Studio by the Esplanade Park,"Kaartinkaupunki, Helsinki",Studio Standard,1 grand lit double,"7,7",3 expériences vécues,"1 nuit, 1 adulte",,€ 142€ 134-6 %
2ndhomes Bright 1BR Apartment with Superb Location!,"Kamppi, Helsinki",Appartement 1 Chambre,"3 lits (2 canapés-lits, 1 grand lit double)","8,3",11 expériences vécues,"1 nuit, 1 adulte",,€ 198€ 188-5 %
"Modern studio, central location and free parking",Helsinki,Appartement 1 Chambre,Hébergement géré par un particulier,10,1 expérience vécue,"1 nuit, 1 adulte",,€ 110€ 103-6 %
Art-lover’s home (1-BR) in trendy Kallio district,"Alppiharju, Helsinki",Appartement 1 Chambre,Hébergement géré par un particulier,"8,5",2 expériences vécues,"1 nuit, 1 adulte",,€ 143€ 134-6 %
2ndhomes Deluxe 1BR Kamppi Center Apartment with Sauna and Terrace,"Kamppi, Helsinki",Appartement Supérieur avec Sauna,"2 lits (1 canapé-lit, 1 grand lit double)","8,2",39 expériences vécues,"1 nuit, 1 adulte",,€ 189€ 177-6 %
Forenom Hostel Röykkä,Helsinki,Chambre Lits Jumeaux Standard,2 lits simples,"6,0",2 expériences vécues,"1 nuit, 1 adulte",,€ 131€ 120-8 %
2ndhomes Unique 35m2 Studio Penthouse with Sauna & Balcony,"Etu-Töölö, Helsinki",Studio,"2 lits (1 lit double, 1 canapé-lit)","8,6",13 expériences vécues,"1 nuit, 1 adulte",,€ 157€ 148-6 %
2ndhomes Stylish 1BR home with Balcony and Sauna in Kamppi Center,"Kamppi, Helsinki",Appartement 1 Chambre,"2 lits (1 lit double, 1 canapé-lit)","8,7",7 expériences vécues,"1 nuit, 1 adulte",,€ 189€ 177-6 %
