Titre,Lien_du_titre,Date,Lieux,Prix
#51 Silicon Drinkabout Rome - 27 Ottobre,https://www.eventbrite.it/e/registrazione-51-silicon-drinkabout-rome-27-ottobre-729699329337?aff=ebdssbdestsearch,vendredi prochain à 19:00,The Hub - LVenture Group,"0,00 €"
TYPO3 Camp RheinRuhr 2023,https://www.eventbrite.de/e/typo3-camp-rheinruhr-2023-tickets-700341318737?aff=ebdssbdestsearch,"ven. 3 nov., 18:00",Hochschule Rhein-Waal,"52,69 €"
MALDITOUR en Mérida,https://www.eventbrite.com/e/entradas-malditour-en-merida-650761363757?aff=ebdssbdestsearch,"sam. 28 oct., 17:00","Pl. Santo Domingo, 1","39,04 €"
Meet Cosmico - Roma,https://www.eventbrite.it/e/biglietti-meet-cosmico-roma-721217469867?aff=ebdssbdestsearch,mardi prochain à 18:45,The Hub - LVenture Group,"15,00 €"
South Dublin Speed Dating (Ages 40s/50s) 2 MALE TICKETS LEFT!,https://www.eventbrite.ie/e/south-dublin-speed-dating-ages-40s50s-2-male-tickets-left-tickets-722812510677?aff=ebdssbdestsearch,"ven. 3 nov., 19:30",The Hill Pub,"33,15 €"
A.I. Day 2023,https://www.eventbrite.it/e/registrazione-ai-day-2023-729276966037?aff=ebdssbdestsearch,"ven. 24 nov., 09:00",Sede Microsoft Roma,"0,00 €"
Baby Market Limerick,https://www.eventbrite.ie/e/baby-market-limerick-tickets-654266547857?aff=ebdssbdestsearch,"dim. 5 nov., 12:00",Castle Oaks House Hotel,"6,34 €"
Apeldoorn Business Awards 2023,https://www.eventbrite.nl/e/tickets-apeldoorn-business-awards-2023-641369923707?aff=ebdssbdestsearch,jeudi prochain à 19:30,Theater & Congres Orpheus,"28,00 €"
"MAGIC HALLOWEEN HIGH SCHOOL - 2000er, 90er, 10er Grusical Party",https://www.eventbrite.de/e/magic-halloween-high-school-2000er-90er-10er-grusical-party-tickets-673113509627?aff=ebdssbdestsearch,"sam. 28 oct., 22:00",MTW Club,"14,95 €"
IRINA RIMES & SURORILE OSOIANU | DUBLIN | 27.10.2023,https://www.eventbrite.be/e/irina-rimes-surorile-osoianu-dublin-27102023-tickets-713009650057?aff=ebdssbdestsearch,vendredi prochain à 19:30,Church of Scientology & Community Centre of Dublin,"31,95 €"
