Titre,Avis,Type,Price,Ville
 La Luna Steakhouse Grill,1 143 avis,"Steakhouse, Barbecue/Grillades",€€-€€€,Amsterdam
 Salmuera,446 avis,"Steakhouse, Latino",€€-€€€,Amsterdam
 Bar-B Burgers 'N' Beer Bar,557 avis,"Américaine, Bar",€€-€€€,Amsterdam
 Mayur,556 avis,"Indienne, Asiatique",€€-€€€,Amsterdam
 Gauchos,456 avis,"Steakhouse, Barbecue/Grillades",€€-€€€,Amsterdam
 The Lobby Fizeaustraat,310 avis,"Hollandaise, Fruits de mer et poisson",€€-€€€,Amsterdam
 Grandcafé Hermes,594 avis,"Hollandaise, Bar",€€-€€€,Amsterdam
 Café de Doffer,193 avis,"Hollandaise, Bar",€€-€€€,Amsterdam
 Memories of India,717 avis,"Indienne, Asiatique",€€-€€€,Amsterdam
 Hasta La Pasta,682 avis,"Italienne, Européenne",€,Amsterdam
 Anmol Indian Restaurant,287 avis,Indienne,€€-€€€,Amsterdam
 Mi Sueno,220 avis,"Steakhouse, Latino",€€-€€€,Amsterdam
 De Nachtwacht,1 345 avis,"Steakhouse, Bar",€€-€€€,Amsterdam
 De Biertuin East,429 avis,"Hollandaise, Bar",€€-€€€,Amsterdam
 kop van jut,405 avis,"Hollandaise, Européenne",€€-€€€,Amsterdam
 Scheepskameel,206 avis,"Hollandaise, Fruits de mer et poisson",€€-€€€,Amsterdam
 Restaurant Pizzeria Lucca Due,384 avis,"Italienne, Pizza",€€-€€€,Amsterdam
 Restaurant d'Vijff Vlieghen,2 058 avis,"Hollandaise, Européenne",€€€€,Amsterdam
 Ctaste – Dineren in het donker,670 avis,"Hollandaise, Internationale",€€-€€€,Amsterdam
 Brasserie van Baerle,438 avis,"Française, Internationale",€€-€€€,Amsterdam
 Nooch,568 avis,"Japonaise, Thaï",€€-€€€,Amsterdam
 Oriole,206 avis,"Fruits de mer et poisson, Méditerranéenne",€€-€€€,Amsterdam
 Carter,213 avis,"Hollandaise, Bar",€€-€€€,Amsterdam
 de Luwte,954 avis,"Hollandaise, Internationale",€€-€€€,Amsterdam
 TDQ Steaks,1 591 avis,"Steakhouse, Internationale",€€€€,Amsterdam
 Restaurant 't Zwaantje,790 avis,"Française, Hollandaise",€€-€€€,Amsterdam
 H. Murray's Amsterdam,79 avis,Pub,€,Amsterdam
 Pastini,329 avis,"Italienne, Internationale",€€-€€€,Amsterdam
 Morgan and Mees,254 avis,"Hollandaise, Bar",€€-€€€,Amsterdam
 La Santa Maria International Dinner,158 avis,"Steakhouse, Internationale",€€-€€€,Amsterdam
 Cafe Toussaint,334 avis,"Hollandaise, Café",€€-€€€,Amsterdam
 Cafe Oporto,158 avis,"Café, Pub",€,Amsterdam
 Lillie Wine Rebel,92 avis,"Internationale, Européenne",€€-€€€,Amsterdam
 O'Reilly's Irish Pub,800 avis,"Irlandaise, Bar",€€-€€€,Amsterdam
 Vegan Junk Food Bar - 2D,750 avis,"Restauration rapide, Internationale",€€-€€€,Amsterdam
 De Jonge Dikkert,381 avis,"Hollandaise, Fruits de mer et poisson",€€€€,Amsterdam
 Calf & Bloom,464 avis,"Hollandaise, Bar",€€-€€€,Amsterdam
 Assaggi,661 avis,"Italienne, Napolitaine",€€-€€€,Amsterdam
 Steakhouse Piet de Leeuw,516 avis,"Steakhouse, Hollandaise",€€-€€€,Amsterdam
 Cau,3 236 avis,"Steakhouse, Barbecue/Grillades",€€-€€€,Amsterdam
 Balthazar's Keuken,419 avis,"Internationale, Européenne",€€-€€€,Amsterdam
 Corner Bakery - Amsterdam Oud Zuid,475 avis,"Café, Européenne",€€-€€€,Amsterdam
 Vishandel Albert Cuyp,233 avis,"Hollandaise, Fruits de mer et poisson",€,Amsterdam
 Pulitzer's Bar,274 avis,Bar,€€-€€€,Amsterdam
 Frenzi,477 avis,Italienne,€€-€€€,Amsterdam
 Mezebar Bodrum,78 avis,"Méditerranéenne, Européenne",€€-€€€,Amsterdam
 Blushing Amsterdam,1 172 avis,"Hollandaise, Café",€€-€€€,Amsterdam
 Dwaze Zaken,538 avis,"Française, Hollandaise",€€-€€€,Amsterdam
 Toasty!,149 avis,"Café, Européenne",€,Amsterdam
 Brouwerij de Prael,736 avis,"Hollandaise, Bar",€€-€€€,Amsterdam
 Hick's Amsterdam,84 avis,"Américaine, Européenne",€€-€€€,Amsterdam
 Roem,415 avis,"Hollandaise, Café",€,Amsterdam
