Titre,Avis,Type,Price,Ville
 Delhi Darbar São Francisco,103 avis,Indienne,€€-€€€,Lisbonne
 Lisboa Tu & Eu 2,1 537 avis,"Méditerranéenne, Portugaise",€€-€€€,Lisbonne
 Downunder by Justin Jennings,601 avis,"Internationale, Fusion",€€-€€€,Lisbonne
 Zenith Brunch & Cocktails - Lisboa,3 309 avis,"Américaine, Café",€€-€€€,Lisbonne
 Nova Wine Bar,515 avis,"Méditerranéenne, Portugaise",€€-€€€,Lisbonne
 Delicia de arroios,397 avis,"Méditerranéenne, Européenne",€,Lisbonne
 Instant Crunch,123 avis,"Française, Méditerranéenne",€€-€€€,Lisbonne
 Há Tapas no Mercado!!!,1 044 avis,"Méditerranéenne, Européenne",€,Lisbonne
 A Nossa Casa,1 243 avis,"Brésilienne, Portugaise",€€-€€€,Lisbonne
 Legumi Sushi Vegan,172 avis,"Japonaise, Internationale",€€-€€€,Lisbonne
 Pizzeria Romana Bio,693 avis,"Italienne, Pizza",€,Lisbonne
 Yak and Yeti Restaurant,985 avis,"Indienne, Népalaise",€,Lisbonne
 Swaagat The Taste of India,377 avis,"Indienne, Asiatique",€€-€€€,Lisbonne
 Kong - Food Made With Compassion,133 avis,Saine,€€-€€€,Lisbonne
 A Quinta,243 avis,"Européenne, Portugaise",€€-€€€,Lisbonne
 Royal Spice,880 avis,"Indienne, Asiatique",€€-€€€,Lisbonne
 Oven Lisboa,130 avis,"Indienne, Asiatique",€€-€€€,Lisbonne
 Lucimar,780 avis,"Saine, Portugaise",€,Lisbonne
 Lídia Restaurante & Bar,526 avis,"Méditerranéenne, Européenne",€€-€€€,Lisbonne
 Organi Chiado,977 avis,"Méditerranéenne, Saine",€€-€€€,Lisbonne
 Mercearia do Seculo,567 avis,"Méditerranéenne, Européenne",€€-€€€,Lisbonne
 Alcantara 50,238 avis,"Méditerranéenne, Européenne",€€-€€€,Lisbonne
 L'Origine by Chakall,324 avis,"Italienne, Pizza",€€-€€€,Lisbonne
 Restaurante Solar dos Bicos,1 793 avis,"Fruits de mer et poisson, Méditerranéenne",€€-€€€,Lisbonne
 Forno d'Oro,2 105 avis,"Italienne, Pizza",€€-€€€,Lisbonne
 A Avó Tinha Arroios,1 038 avis,"Méditerranéenne, Européenne",€€-€€€,Lisbonne
 Scoop 'n Dough,319 avis,"Desserts, Américaine",€€-€€€,Lisbonne
 Zazah,825 avis,"Internationale, Méditerranéenne",€€-€€€,Lisbonne
 Antiga Wine Bar,185 avis,"Fusion, Bar à vins",€€-€€€,Lisbonne
 O Vinhaca Tapas & Vinhos,504 avis,"Méditerranéenne, Européenne",€€-€€€,Lisbonne
 Bistrô Gato Pardo,1 159 avis,"Méditerranéenne, Européenne",€€-€€€,Lisbonne
 Em Alta Na Baixa,1 732 avis,"Internationale, Méditerranéenne",€€-€€€,Lisbonne
 A Cultura do Hambúrguer,3 118 avis,"Américaine, Bar",€,Lisbonne
 Restaurante Solar do Duque,1 262 avis,"Méditerranéenne, Européenne",€€-€€€,Lisbonne
 BacoAlto,278 avis,"Portugaise, Bar à vins",€,Lisbonne
 Lisbon Winery,723 avis,"Portugaise, Bar à vins",€€-€€€,Lisbonne
 Mae Restaurante,425 avis,"Méditerranéenne, Moderne",€€-€€€,Lisbonne
 Bono Lisboa,134 avis,"Méditerranéenne, Moderne",Menu,Lisbonne
 Dom Queijo Cheese House,344 avis,"Européenne, Moderne",€€-€€€,Lisbonne
 daPrata52,2 817 avis,"Méditerranéenne, Européenne",€€-€€€,Lisbonne
 O Tasco Do Vigário,525 avis,"Fruits de mer et poisson, Méditerranéenne",€,Lisbonne
 Peixola,507 avis,"Fruits de mer et poisson, Méditerranéenne",€€-€€€,Lisbonne
 The Little Wine Bar,565 avis,"Méditerranéenne, Européenne",€€-€€€,Lisbonne
 Tasca Mastai,388 avis,"Bar, Méditerranéenne",€,Lisbonne
 Federico Restaurante & Bar,160 avis,"Méditerranéenne, Européenne",€€€€,Lisbonne
 Bairrices,653 avis,"Méditerranéenne, Portugaise",€€-€€€,Lisbonne
 Ganesha Palace,243 avis,"Italienne, Indienne",€€-€€€,Lisbonne
 LI28OA - Wine and Tapas,287 avis,"Saine, Portugaise",€€-€€€,Lisbonne
 Sacco Restaurante,331 avis,Portugaise,€€-€€€,Lisbonne
 Restaurante Elevador,538 avis,"Internationale, Méditerranéenne",€€-€€€,Lisbonne
 Santelmo Restaurante Cafe,644 avis,"Fruits de mer et poisson, Méditerranéenne",€€-€€€,Lisbonne
 Maruto,988 avis,"Bar, Méditerranéenne",€€-€€€,Lisbonne
 Valdo Gatti Pizza Bio,639 avis,Pizza,€€-€€€,Lisbonne
 Versículo do Faia,727 avis,"Fruits de mer et poisson, Méditerranéenne",€€-€€€,Lisbonne
 Bao House,67 avis,"Asiatique, Saine",€€-€€€,Lisbonne
 Rosa da Rua,1 314 avis,"Méditerranéenne, Européenne",€,Lisbonne
 Taco Locoo Restaurant and Cocktail Bar,368 avis,Mexicaine,€€-€€€,Lisbonne
 Quase Café,500 avis,"Café, Internationale",€,Lisbonne
 Florence Italiano,454 avis,"Italienne, Pizza",€€-€€€,Lisbonne
 Lumi Rooftop,885 avis,"Bar, Internationale",€€-€€€,Lisbonne
 Ghoroa Restaurante,356 avis,Indienne,€€-€€€,Lisbonne
 Il Covo,719 avis,"Italienne, Internationale",€€-€€€,Lisbonne
 Maria Peixeira,460 avis,"Fruits de mer et poisson, Méditerranéenne",€€-€€€,Lisbonne
 Focaccia in Giro,277 avis,"Italienne, Bar à bières",€,Lisbonne
" O Portugues, Chiado",194 avis,"Méditerranéenne, Fusion",€€-€€€,Lisbonne
 Velha Gaiteira,578 avis,"Méditerranéenne, Européenne",€,Lisbonne
 Sala de João Sá,228 avis,"Méditerranéenne, Européenne",€€€€,Lisbonne
 Limoncello,1 129 avis,"Italienne, Méditerranéenne",€€-€€€,Lisbonne
" Mestrias, Nova Tasca",336 avis,"Méditerranéenne, Européenne",€€-€€€,Lisbonne
 As Velhas,1 230 avis,"Fruits de mer et poisson, Portugaise",€€-€€€,Lisbonne
 Gurkha Restaurant & Bar,242 avis,"Indienne, Asiatique",€€-€€€,Lisbonne
 Restaurante Sucolento,855 avis,"Méditerranéenne, Européenne",€,Lisbonne
 Santa Clara dos Cogumelos,655 avis,"Italienne, Internationale",€€-€€€,Lisbonne
 O Corvo,627 avis,"Méditerranéenne, Européenne",€€-€€€,Lisbonne
 Maria Catita,3 305 avis,"Fruits de mer et poisson, Méditerranéenne",€€-€€€,Lisbonne
 Solar 31 da Calçada,3 062 avis,"Fruits de mer et poisson, Méditerranéenne",€€-€€€,Lisbonne
 Lugar Marcado,407 avis,"Méditerranéenne, Européenne",€€-€€€,Lisbonne
 Bellalisa Valmor,1 380 avis,"Italienne, Internationale",€€-€€€,Lisbonne
 Darshan Nepal,195 avis,"Indienne, Asiatique",€,Lisbonne
 Roda Viva,202 avis,Africaine,€,Lisbonne
 Restaurante India Gate,947 avis,Indienne,€€-€€€,Lisbonne
 Lisboa e linda,1 005 avis,"Méditerranéenne, Européenne",€€-€€€,Lisbonne
 Meson Andaluz,2 024 avis,"Méditerranéenne, Européenne",€€-€€€,Lisbonne
 A Transmontana,396 avis,"Méditerranéenne, Barbecue/Grillades",€,Lisbonne
 A Minhota da Prata,640 avis,"Méditerranéenne, Européenne",€,Lisbonne
 Clube de Jornalistas,2 670 avis,"Internationale, Européenne",€€-€€€,Lisbonne
 Taberna Sal Grosso,1 787 avis,"Méditerranéenne, Européenne",€€-€€€,Lisbonne
 Alto do Bairro,683 avis,Fusion,€,Lisbonne
 Everest Montanha,221 avis,"Indienne, Asiatique",€,Lisbonne
 A Obra,248 avis,"Méditerranéenne, Européenne",€€-€€€,Lisbonne
 Casa do Pescador,331 avis,"Méditerranéenne, Européenne",€€-€€€,Lisbonne
 The CorkScrew,849 avis,"Méditerranéenne, Portugaise",€€-€€€,Lisbonne
 Churrasqueira do Marques,337 avis,"Méditerranéenne, Barbecue/Grillades",€,Lisbonne
 Feitoria Restaurant & Wine Bar,774 avis,"Internationale, Méditerranéenne",€€€€,Lisbonne
 O Chiado,1 522 avis,Portugaise,€€-€€€,Lisbonne
 El Rei D. Frango,1 223 avis,"Méditerranéenne, Européenne",€,Lisbonne
 Grenache,228 avis,"Française, Internationale",€€€€,Lisbonne
 O Recanto,590 avis,"Méditerranéenne, Européenne",€,Lisbonne
 ALMA Henrique Sá Pessoa,1 096 avis,"Méditerranéenne, Européenne",€€€€,Lisbonne
 Leo,451 avis,"Indienne, Asiatique",€€-€€€,Lisbonne
 As Salgadeiras Restaurante,1 532 avis,"Fruits de mer et poisson, Méditerranéenne",€€€€,Lisbonne
 LOCO Restaurante,344 avis,"Méditerranéenne, Européenne",€€€€,Lisbonne
 Hamburgueria Gourmet - Cafe do Rio,1 987 avis,"Internationale, Européenne",€€-€€€,Lisbonne
 Restaurante Forninho Saloio,980 avis,"Méditerranéenne, Barbecue/Grillades",€€-€€€,Lisbonne
 Tempero Gaucho,302 avis,"Méditerranéenne, Européenne",€€-€€€,Lisbonne
 Villa's Gourmet ,56 avis,"Européenne, Traiteur",€€-€€€,Lisbonne
 Flor da Laranja,497 avis,"Africaine, Marocaine",€€-€€€,Lisbonne
 Madame Bacchus,135 avis,"Portugaise, Bar à vins",€€-€€€,Lisbonne
 Lisboa Tu & Eu 1,1 955 avis,Portugaise,€€-€€€,Lisbonne
 3 Amigos,190 avis,"Mexicaine, Latino",€€-€€€,Lisbonne
 A Venda Lusitana,1 060 avis,"Méditerranéenne, Saine",€€-€€€,Lisbonne
 Lugar ao Sul,173 avis,Portugaise,€€-€€€,Lisbonne
 Mesa Kreol,299 avis,"Africaine, Fruits de mer et poisson",€€-€€€,Lisbonne
 Emblemático,79 avis,"Steakhouse, Barbecue/Grillades",Menu,Lisbonne
 Restaurante Raízes,196 avis,"Méditerranéenne, Européenne",€€-€€€,Lisbonne
 Petisco Saloio,187 avis,"Méditerranéenne, Européenne",€€-€€€,Lisbonne
 BaixaMar Lisboa - Mariscos e Petiscos,934 avis,"Fruits de mer et poisson, Méditerranéenne",€€-€€€,Lisbonne
 Beco a Serio,400 avis,"Méditerranéenne, Européenne",€€-€€€,Lisbonne
 Mex Factory,586 avis,"Mexicaine, Latino",€€-€€€,Lisbonne
 Rendezvous,200 avis,"Méditerranéenne, Européenne",€€-€€€,Lisbonne
 Ninja Buns - Lisboa,58 avis,"Asiatique, Coréenne",€€-€€€,Lisbonne
 A Avó Tinha,786 avis,"Méditerranéenne, Européenne",€€-€€€,Lisbonne
 Cafe Janis,371 avis,"Café, Européenne",€€-€€€,Lisbonne
 Oficina do Duque,1 775 avis,"Méditerranéenne, Européenne",€€-€€€,Lisbonne
 Restaurante Comptoir Parisien,1 287 avis,"Française, Méditerranéenne",€€-€€€,Lisbonne
 Taberna dos Ferreiros,574 avis,"Méditerranéenne, Européenne",€€-€€€,Lisbonne
 Porto Alfama,271 avis,"Méditerranéenne, Européenne",€€-€€€,Lisbonne
 As bifanas do Afonso,242 avis,"Restauration rapide, Européenne",€,Lisbonne
 IIIMPAR,1 023 avis,"Steakhouse, Méditerranéenne",€€-€€€,Lisbonne
 Os Bons Malandros,605 avis,"Méditerranéenne, Européenne",€€-€€€,Lisbonne
 O Trigueirinho,891 avis,"Méditerranéenne, Européenne",€,Lisbonne
 Churrasqueira da Paz,964 avis,"Méditerranéenne, Barbecue/Grillades",€,Lisbonne
 Fado ao Carmo,432 avis,"Saine, Portugaise",€€-€€€,Lisbonne
 26 Vegan Food Project,640 avis,"Européenne, Saine",€€-€€€,Lisbonne
 Bengal Tandoori Lisboa,357 avis,"Indienne, Internationale",€€-€€€,Lisbonne
 Restaurante EPUR,147 avis,"Européenne, Portugaise",€€€€,Lisbonne
 Borges,453 avis,"Fruits de mer et poisson, Méditerranéenne",€€-€€€,Lisbonne
 Manjerico Alegre Restaurante & Wine Shop,257 avis,"Méditerranéenne, Européenne",€€-€€€,Lisbonne
 A Cisterna,439 avis,"Méditerranéenne, Européenne",€€-€€€,Lisbonne
 Fifty Seconds,115 avis,"Méditerranéenne, Européenne",€€€€,Lisbonne
 Tantura,526 avis,"Méditerranéenne, Saine",€€-€€€,Lisbonne
 Madragoa Cafe,1 235 avis,"Méditerranéenne, Saine",€€-€€€,Lisbonne
 Fumeiro de Santa Catarina,446 avis,"Méditerranéenne, Européenne",€€-€€€,Lisbonne
 The Mill,523 avis,"Café, Moderne",€€-€€€,Lisbonne
 Rodas Restaurant,645 avis,"Méditerranéenne, Européenne",€,Lisbonne
 Chafariz do Vinho - Enoteca,1 775 avis,"Européenne, Portugaise",€€-€€€,Lisbonne
 The Wine Cellar,591 avis,"Méditerranéenne, Européenne",€€-€€€,Lisbonne
 Restaurante D' Bacalhau,3 687 avis,"Saine, Portugaise",€€-€€€,Lisbonne
 Mister Tapas,297 avis,"Bar, Européenne",€€-€€€,Lisbonne
 Unique Sushi Lab,552 avis,"Japonaise, Internationale",€€-€€€,Lisbonne
 Varanda do Hotel Ritz Four Seasons - Lisboa,358 avis,"Méditerranéenne, Européenne",€€€€,Lisbonne
 Natraj,359 avis,"Indienne, Asiatique",€€-€€€,Lisbonne
 Nepal Curry House,181 avis,"Indienne, Asiatique",€€-€€€,Lisbonne
 Grapes & Bites,1 960 avis,"Méditerranéenne, Portugaise",€€-€€€,Lisbonne
 Tartar-ia,238 avis,Internationale,€€-€€€,Lisbonne
 Brunch Café,842 avis,"Café, Internationale",€€-€€€,Lisbonne
 Restaurante Tradicional Aroeira,186 avis,Portugaise,€,Lisbonne
 Maritima Do Restelo,345 avis,"Fruits de mer et poisson, Méditerranéenne",€€-€€€,Lisbonne
 Ofício Lisboa,451 avis,"Méditerranéenne, Européenne",€€-€€€,Lisbonne
 Claras Em Castelo,1 558 avis,"Méditerranéenne, Européenne",€€-€€€,Lisbonne
 Stanislav Cafe,618 avis,Café,€€-€€€,Lisbonne
 Leitaria Camponeza,1 614 avis,"Fruits de mer et poisson, Méditerranéenne",€€-€€€,Lisbonne
 DesNorte,318 avis,"Méditerranéenne, Européenne",€€-€€€,Lisbonne
 Eating Bear,497 avis,"Méditerranéenne, Européenne",€€-€€€,Lisbonne
 Suba,153 avis,"Internationale, Méditerranéenne",€€€€,Lisbonne
 O Arco,1 381 avis,"Fruits de mer et poisson, Méditerranéenne",€€-€€€,Lisbonne
 Floresta do Salitre,824 avis,"Fruits de mer et poisson, Méditerranéenne",€€-€€€,Lisbonne
 Zé dos Cornos,753 avis,"Barbecue/Grillades, Européenne",€,Lisbonne
 Cerveja Canil,155 avis,"Bar à bières, Bar",€€-€€€,Lisbonne
 Chão de Pedra,778 avis,"Internationale, Méditerranéenne",€€-€€€,Lisbonne
 O Faia,1 546 avis,Portugaise,€€€€,Lisbonne
 Cafe Pit,838 avis,Portugaise,€€-€€€,Lisbonne
 A Tigelinha,240 avis,"Méditerranéenne, Européenne",€,Lisbonne
 Alfama Cellar,1 012 avis,"Méditerranéenne, Saine",€€-€€€,Lisbonne
 Restaurante People,458 avis,"Internationale, Méditerranéenne",€€-€€€,Lisbonne
 Alpendre,1 423 avis,"Fruits de mer et poisson, Méditerranéenne",€€-€€€,Lisbonne
 Heim Cafe,394 avis,"Café, Européenne",€,Lisbonne
 H5 Texas Burger Hub,56 avis,"Mexicaine, Américaine",€,Lisbonne
 Audrey's,1 003 avis,"Méditerranéenne, Européenne",€€-€€€,Lisbonne
 Verde Minho,465 avis,"Méditerranéenne, Barbecue/Grillades",€,Lisbonne
 A Merendinha do Arco Bandeira,533 avis,"Méditerranéenne, Européenne",€,Lisbonne
 Estórias na Casa da Comida,753 avis,"Méditerranéenne, Européenne",€€€€,Lisbonne
 Maca Verde,321 avis,"Fruits de mer et poisson, Méditerranéenne",€,Lisbonne
 Mil Sabores Lisboa,76 avis,"Café, Européenne",€,Lisbonne
 Tapas 129,106 avis,"Méditerranéenne, Européenne",€€-€€€,Lisbonne
 Leve Leve Tapas Bar,475 avis,"Méditerranéenne, Européenne",€,Lisbonne
 Os Jeronimos,1 762 avis,"Méditerranéenne, Européenne",€€-€€€,Lisbonne
 The Old Pharmacy,914 avis,"Européenne, Portugaise",€€-€€€,Lisbonne
 Paladarium,609 avis,"Méditerranéenne, Européenne",€€-€€€,Lisbonne
 Yallah Lisboa,332 avis,"Saine, Moyen-Orient",€€-€€€,Lisbonne
 O Tainadas Restaurante & Bar,478 avis,"Méditerranéenne, Européenne",€€-€€€,Lisbonne
 1001 Nights- Iranian Restaurant,341 avis,"Internationale, Perse",€€-€€€,Lisbonne
 Sacramento do Chiado,5 148 avis,"Fruits de mer et poisson, Internationale",€€-€€€,Lisbonne
 O Fernandinho,361 avis,"Fruits de mer et poisson, Méditerranéenne",€,Lisbonne
 Sr. Fado de Alfama,1 391 avis,"Fruits de mer et poisson, Portugaise",€€-€€€,Lisbonne
 Estrela da Bica,588 avis,"Méditerranéenne, Moderne",€€-€€€,Lisbonne
 Lisboa à Vista,418 avis,"Méditerranéenne, Européenne",€€-€€€,Lisbonne
 GIN LOVERS BAR & RESTAURANT,588 avis,"Méditerranéenne, Européenne",€€-€€€,Lisbonne
 Restaurante A Casa do Bacalhau,917 avis,"Méditerranéenne, Européenne",€€-€€€,Lisbonne
 Belcanto,2 156 avis,"Moderne, Portugaise",€€€€,Lisbonne
 Agua Pela Barba,319 avis,"Fruits de mer et poisson, Internationale",€€-€€€,Lisbonne
 Casa da Tia Helena,520 avis,"Méditerranéenne, Européenne",€,Lisbonne
 Pizzeria Romana al Taglio BIO,281 avis,"Italienne, Pizza",€,Lisbonne
 Byf Steakhouse,847 avis,"Steakhouse, Grillades",€€-€€€,Lisbonne
 Miss Can - Petiscaria,220 avis,"Fruits de mer et poisson, Méditerranéenne",€€-€€€,Lisbonne
 Simplesmente Pizza Bar,373 avis,"Italienne, Pizza",€€-€€€,Lisbonne
 L'os à Moelle - Lisboa,115 avis,"Française, Steakhouse",€€-€€€,Lisbonne
 Dallas Burger Joint - Pink Street,161 avis,Américaine,€€-€€€,Lisbonne
 Restaurante Figus,4 281 avis,"Internationale, Méditerranéenne",€€-€€€,Lisbonne
 La Piadina,225 avis,"Italienne, Méditerranéenne",€,Lisbonne
 O Prado,808 avis,"Méditerranéenne, Européenne",€,Lisbonne
 Quermesse,2 350 avis,"Méditerranéenne, Européenne",€€-€€€,Lisbonne
 Super Mario,475 avis,"Brésilienne, Méditerranéenne",€,Lisbonne
 O BECO - A Tradição do Bacalhau,715 avis,"Méditerranéenne, Européenne",€€-€€€,Lisbonne
 Fishtail Restaurante,336 avis,Népalaise,€€-€€€,Lisbonne
 Taberna do Lis,594 avis,"Méditerranéenne, Européenne",€€-€€€,Lisbonne
 The Fam Kitchen,77 avis,"Méditerranéenne, Européenne",€€-€€€,Lisbonne
 Restaurante o  Marques,313 avis,"Méditerranéenne, Portugaise",€,Lisbonne
 Cervejaria do Bairro,1 236 avis,"Bar à bières, Bar",€€-€€€,Lisbonne
 Duque Restaurante - Lisboa,1 105 avis,"Fruits de mer et poisson, Méditerranéenne",€€-€€€,Lisbonne
 Adega Dom Luis,235 avis,"Fruits de mer et poisson, Méditerranéenne",€€-€€€,Lisbonne
 Restaurante Marrakesh,463 avis,"Indienne, Marocaine",€€-€€€,Lisbonne
 Sentido do Mar,792 avis,"Japonaise, Fruits de mer et poisson",€€-€€€,Lisbonne
 Brooklyn,269 avis,"Café, Européenne",€,Lisbonne
 BouBou's,290 avis,"Internationale, Méditerranéenne",€€-€€€,Lisbonne
 Restaurante Qosqo,340 avis,"Péruvienne, Saine",€€-€€€,Lisbonne
 Restaurante Cerqueira,874 avis,Portugaise,€,Lisbonne
 Coimbra Taberna,746 avis,"Méditerranéenne, Européenne",€€-€€€,Lisbonne
 Basilio Lisboa Cafe,307 avis,"Café, Européenne",€€-€€€,Lisbonne
 Bistrô4,517 avis,"Méditerranéenne, Européenne",€€-€€€,Lisbonne
 Ouvi Dizer,71 avis,"Méditerranéenne, Européenne",€€-€€€,Lisbonne
 By The Wine,1 307 avis,"Méditerranéenne, Européenne",€€-€€€,Lisbonne
 Petisqueira Conqvistador,575 avis,Portugaise,€,Lisbonne
 Gandhi Palace - Praça da Figueira,637 avis,"Italienne, Indienne",€€-€€€,Lisbonne
 Petiscaria Ideal,401 avis,"Méditerranéenne, Européenne",€€-€€€,Lisbonne
 Tapa Bucho,1 146 avis,"Méditerranéenne, Européenne",€€-€€€,Lisbonne
 Chickinho Lx Factory,195 avis,"Barbecue/Grillades, Européenne",€€-€€€,Lisbonne
 Restaurante Galeria,484 avis,"Méditerranéenne, Européenne",€€-€€€,Lisbonne
 A Taberna do Mar,212 avis,"Fruits de mer et poisson, Méditerranéenne",€€-€€€,Lisbonne
 O Magano,304 avis,"Méditerranéenne, Européenne",€€-€€€,Lisbonne
 Santa Bica,355 avis,"Méditerranéenne, Européenne",€€-€€€,Lisbonne
 Taverna Alfacinha,320 avis,"Fruits de mer et poisson, Méditerranéenne",€,Lisbonne
 Primo Basilico,423 avis,"Italienne, Pizza",€,Lisbonne
 2Burger,162 avis,"Européenne, Portugaise",€€-€€€,Lisbonne
 Mercearia Castello Cafe,385 avis,"Café, Méditerranéenne",€,Lisbonne
 Farol de Santa Luzia,1 007 avis,"Fruits de mer et poisson, Méditerranéenne",€€-€€€,Lisbonne
 Taberna da Baixa,787 avis,"Méditerranéenne, Européenne",€€-€€€,Lisbonne
 The Food Temple,468 avis,"Internationale, Européenne",€€-€€€,Lisbonne
 Passage To India,683 avis,"Indienne, Asiatique",€€-€€€,Lisbonne
 O Mercado,436 avis,"Méditerranéenne, Européenne",€€-€€€,Lisbonne
 Cafe de Sao Bento,1 226 avis,"Steakhouse, Européenne",€€-€€€,Lisbonne
 Nomada,454 avis,"Japonaise, Sushi",€€-€€€,Lisbonne
 Ember Restaurante & Bar,58 avis,"Barbecue/Grillades, Européenne",€,Lisbonne
 Pizzeria Dama e Vagabundo,943 avis,"Italienne, Pizza",€€-€€€,Lisbonne
 Jardim dos Sentidos,698 avis,"Européenne, Saine",€€-€€€,Lisbonne
 Tabuaria do Paço,388 avis,"Fruits de mer et poisson, Méditerranéenne",€€-€€€,Lisbonne
 A Carvoaria,795 avis,Steakhouse,€€-€€€,Lisbonne
 Restaurante Vegetariano Psi,660 avis,"Indienne, Asiatique",€€-€€€,Lisbonne
 Frangasqueira Nacional,858 avis,"Restauration rapide, Barbecue/Grillades",€,Lisbonne
 A Tasquinha do Lagarto,573 avis,"Méditerranéenne, Européenne",€€-€€€,Lisbonne
 Boca D'Uva ,62 avis,"Européenne, Portugaise",€€-€€€,Lisbonne
 A Muralha Tasca Típica,471 avis,"Méditerranéenne, Européenne",€€-€€€,Lisbonne
 Volver de Carne Y Alma,619 avis,"Steakhouse, Fusion",€€€€,Lisbonne
 Sukhothai,614 avis,"Asiatique, Thaï",€€-€€€,Lisbonne
 Taberna Moderna,1 046 avis,"Méditerranéenne, Européenne",€€-€€€,Lisbonne
 Velho Macedo,620 avis,"Méditerranéenne, Européenne",€€-€€€,Lisbonne
 O Cantinho de Sao Jose,406 avis,"Méditerranéenne, Européenne",€,Lisbonne
 Tacho da Memoria - Odivelas,386 avis,"Méditerranéenne, Européenne",€€-€€€,Lisbonne
 Taberna Anti-Dantas,963 avis,"Méditerranéenne, Européenne",€€-€€€,Lisbonne
 To.B To Burger or not to Burger,722 avis,"Américaine, Bar",€€-€€€,Lisbonne
 Descobre,930 avis,"Méditerranéenne, Européenne",€€-€€€,Lisbonne
 Solido,670 avis,"Méditerranéenne, Européenne",€€-€€€,Lisbonne
 Cervejaria Liberdade,613 avis,"Fruits de mer et poisson, Portugaise",€€€€,Lisbonne
 Lisboa a Noite,1 514 avis,"Fruits de mer et poisson, Méditerranéenne",€€€€,Lisbonne
 Steak House Pateo Alcochetano,233 avis,"Steakhouse, Méditerranéenne",€€-€€€,Lisbonne
 Mini Bar,1 501 avis,Européenne,€€€€,Lisbonne
 Bistro Edelweiss,300 avis,"Suisse, Européenne",€€-€€€,Lisbonne
 Restaurante Faca & Garfo,1 924 avis,"Méditerranéenne, Européenne",€€-€€€,Lisbonne
 Fado & Wine,363 avis,"Européenne, Portugaise",€€-€€€,Lisbonne
 Grelha do Carmo,499 avis,"Fruits de mer et poisson, Méditerranéenne",€,Lisbonne
 Há Pitéu,953 avis,"Steakhouse, Bar",€€-€€€,Lisbonne
 Le Petit Cafe,1 225 avis,"Méditerranéenne, Européenne",€€-€€€,Lisbonne
 Restaurante Casa Ideal,459 avis,"Méditerranéenne, Européenne",€€-€€€,Lisbonne
 Le bar à crêpes,173 avis,"Française, Européenne",€,Lisbonne
 Salsa e Coentros,391 avis,"Européenne, Portugaise",€€-€€€,Lisbonne
