Titre,Avis,Type,Price
 kop van jut,405 avis,"Hollandaise, Européenne",€€-€€€
 Scheepskameel,206 avis,"Hollandaise, Fruits de mer et poisson",€€-€€€
 Restaurant Pizzeria Lucca Due,384 avis,"Italienne, Pizza",€€-€€€
 Restaurant d'Vijff Vlieghen,2 058 avis,"Hollandaise, Européenne",€€€€
 Ctaste – Dineren in het donker,670 avis,"Hollandaise, Internationale",€€-€€€
 Brasserie van Baerle,438 avis,"Française, Internationale",€€-€€€
 Nooch,568 avis,"Japonaise, Thaï",€€-€€€
 Oriole,206 avis,"Fruits de mer et poisson, Méditerranéenne",€€-€€€
 Carter,213 avis,"Hollandaise, Bar",€€-€€€
 de Luwte,954 avis,"Hollandaise, Internationale",€€-€€€
 TDQ Steaks,1 591 avis,"Steakhouse, Internationale",€€€€
 Restaurant 't Zwaantje,790 avis,"Française, Hollandaise",€€-€€€
 H. Murray's Amsterdam,79 avis,Pub,€
 Pastini,329 avis,"Italienne, Internationale",€€-€€€
 Morgan and Mees,254 avis,"Hollandaise, Bar",€€-€€€
 La Santa Maria International Dinner,158 avis,"Steakhouse, Internationale",€€-€€€
 Cafe Toussaint,334 avis,"Hollandaise, Café",€€-€€€
 Cafe Oporto,158 avis,"Café, Pub",€
 Lillie Wine Rebel,92 avis,"Internationale, Européenne",€€-€€€
 O'Reilly's Irish Pub,800 avis,"Irlandaise, Bar",€€-€€€
 Vegan Junk Food Bar - 2D,750 avis,"Restauration rapide, Internationale",€€-€€€
 De Jonge Dikkert,381 avis,"Hollandaise, Fruits de mer et poisson",€€€€
 Calf & Bloom,464 avis,"Hollandaise, Bar",€€-€€€
 Assaggi,661 avis,"Italienne, Napolitaine",€€-€€€
 Steakhouse Piet de Leeuw,516 avis,"Steakhouse, Hollandaise",€€-€€€
 Cau,3 236 avis,"Steakhouse, Barbecue/Grillades",€€-€€€
 Balthazar's Keuken,419 avis,"Internationale, Européenne",€€-€€€
 Corner Bakery - Amsterdam Oud Zuid,475 avis,"Café, Européenne",€€-€€€
 Vishandel Albert Cuyp,233 avis,"Hollandaise, Fruits de mer et poisson",€
 Pulitzer's Bar,274 avis,Bar,€€-€€€
 Frenzi,477 avis,Italienne,€€-€€€
 Mezebar Bodrum,78 avis,"Méditerranéenne, Européenne",€€-€€€
 Blushing Amsterdam,1 172 avis,"Hollandaise, Café",€€-€€€
 Dwaze Zaken,538 avis,"Française, Hollandaise",€€-€€€
 Toasty!,149 avis,"Café, Européenne",€
 Brouwerij de Prael,736 avis,"Hollandaise, Bar",€€-€€€
 Hick's Amsterdam,84 avis,"Américaine, Européenne",€€-€€€
 Roem,415 avis,"Hollandaise, Café",€
 Cafe Brasserie Meuwese,315 avis,"Hollandaise, Bar",€€-€€€
 Gauchos - Spuistraat,551 avis,"Steakhouse, Européenne",€€-€€€
 Taiko Cuisine,443 avis,"Japonaise, Sushi",€€€€
 Vegan Junk Food Bar - DE PIJP,180 avis,"Restauration rapide, Internationale",€
 Kapitein Zeppos,351 avis,"Bar, Européenne",€€-€€€
 Den Burgh,453 avis,"Hollandaise, Fruits de mer et poisson",€€-€€€
 Brouwerij Troost de Pijp,306 avis,"Bar, Européenne",€€-€€€
 Maenaam Thai Restaurant,280 avis,"Fruits de mer et poisson, Asiatique",€€-€€€
 Restaurant Rossini (Saturnino),878 avis,"Italienne, Pizza",€€-€€€
 Het Elfde Gebod,147 avis,Bar,€€-€€€
 The Old Bell,507 avis,"Bar, Européenne",€€-€€€
 Effe Anders,181 avis,"Française, Hollandaise",€€-€€€
 Cafe P96,254 avis,"Hollandaise, Bar",€
 Mata Hari,548 avis,"Hollandaise, Bar",€€-€€€
 Burgermeester,619 avis,"Américaine, Restauration rapide",€
 Royal Thai Restaurant,504 avis,"Asiatique, Thaï",€€-€€€
 La Oliva,842 avis,"Méditerranéenne, Européenne",€€-€€€
 Restaurant Mario,327 avis,"Italienne, Fruits de mer et poisson",€€€€
 Himalayan Kitchen,192 avis,"Indienne, Asiatique",€€-€€€
 The Pancake Bakery,4 868 avis,"Hollandaise, Européenne",€€-€€€
 Harlem Soul Food,332 avis,"Bar, Européenne",€€-€€€
 Pasta Factory,807 avis,"Italienne, Méditerranéenne",€€-€€€
 Sapore Italiano,311 avis,"Italienne, Pizza",€€-€€€
 Cafe Kale B.V.,268 avis,"Hollandaise, Bar",€€-€€€
 Grand Cafe Krasnapolsky,411 avis,"Française, Hollandaise",€€-€€€
 Restaurant Bleu,558 avis,Française,€€-€€€
 Momenti - Italian Cuisine,127 avis,"Italienne, Méditerranéenne",€€-€€€
 Lagom Cafe,88 avis,"Hollandaise, Café",€€-€€€
 Tapas Bar Catala,535 avis,"Méditerranéenne, Européenne",€€-€€€
 Gebr. Hartering,320 avis,"Hollandaise, Européenne",€€€€
 Eetcafe Het Pakhuis,368 avis,"Grillades, Diner",€€-€€€
 Billy Thai's Restaurant,233 avis,"Asiatique, Thaï",€€-€€€
 Restaurant Pompstation,468 avis,"Française, Internationale",€€-€€€
 Alfonso's Mexican & Grill Restaurant,367 avis,Mexicaine,€€-€€€
 Restaurant Blauw Amsterdam,1 371 avis,"Asiatique, Cuisine de rue (street food)",€€-€€€
 Koh-i-Noor,508 avis,"Indienne, Asiatique",€€-€€€
 Casa di David,1 493 avis,"Italienne, Pizza",€€-€€€
 Aneka Rasa,740 avis,Indonésienne,€€-€€€
 Bluespoon,434 avis,"Internationale, Moderne",€€€€
 De Nieuwe Pilserij,237 avis,"Bar à bières, Hollandaise",€€-€€€
 Hotel Cafe Restaurant Koekenbier Abcoude,157 avis,"Steakhouse, Hollandaise",€€-€€€
 Dignita Hoftuin,252 avis,"Café, Internationale",€€-€€€
 Bagels & Beans Ijdock,410 avis,"Café, Européenne",€
 Santi & Santini,39 avis,"Italienne, Européenne",€€-€€€
 Infinity Steakhouse - Quality Steaks (Halal),112 avis,-,Menu
 Coffee & Coconuts,1 057 avis,"Bar, Café",€€-€€€
 Eetcafe Rosereijn Amsterdam,212 avis,"Hollandaise, Bar",€€-€€€
 Bagels & Beans,203 avis,"Café, Saine",€
 Malaysian restaurant Wau,408 avis,"Singapourienne, Malaisienne",€€-€€€
 Himalaya Palace Indian & Nepalese Restaurant,150 avis,"Indienne, Asiatique",€€-€€€
 La Perla,991 avis,"Italienne, Pizza",€€-€€€
 Marie - Brasserie - Sur l'eau,418 avis,"Internationale, Européenne",€€€€
 Cafe De Prins,581 avis,"Hollandaise, Bar",€€-€€€
 Kaagman en Kortekaas,275 avis,"Hollandaise, Fruits de mer et poisson",€€€€
 Shiva Indian Restaurant,508 avis,"Indienne, Asiatique",€€-€€€
 Pendergast,138 avis,"Américaine, Barbecue/Grillades",€€-€€€
 Moon,735 avis,"Hollandaise, Internationale",€€€€
 Boca's,362 avis,"Hollandaise, Bar",€€-€€€
