Titre,Avis,Type,Price
301. Pirandello19,152 avis,"Italienne, Pizza",€€-€€€
302. Ristorante Tema,2 082 avis,"Italienne, Fruits de mer et poisson",€€-€€€
303. Le Virtù in Tavola,921 avis,"Italienne, Fruits de mer et poisson",€€-€€€
304. Elettroforno Frontoni,438 avis,"Italienne, Pizza",€
305. Marco G,2 368 avis,"Italienne, Méditerranéenne",€€-€€€
306. Brucio - La Romana,245 avis,"Italienne, Pizza",€€-€€€
307. Babette,2 202 avis,"Italienne, Méditerranéenne",€€-€€€
308. Trattoria Cecio,2 387 avis,"Italienne, Méditerranéenne",€€-€€€
309. Delizie e Sapori,1 195 avis,"Pizza, Grillades",€€-€€€
310. Babbo's,1 882 avis,"Italienne, Pizza",€€-€€€
311. Gandhi 2 Ristorante Indiano,284 avis,"Indienne, Asiatique",€€-€€€
312. Clorofilla,279 avis,"Italienne, Fruits de mer et poisson",€€-€€€
313. La Gattabuia,2 690 avis,"Italienne, Barbecue/Grillades",€€-€€€
314. Ai Tre Tartufi,1 070 avis,"Italienne, Café",€€-€€€
315. Chattanooga Saloon,571 avis,"Mexicaine, Américaine",€€-€€€
316. Enoteca La Torre,512 avis,"Italienne, Méditerranéenne",€€€€
317. Trattoria Re di Roma,1 631 avis,"Italienne, Méditerranéenne",€€-€€€
318. Finger,953 avis,"Italienne, Méditerranéenne",€€-€€€
319. Zizzi Pizza,1 290 avis,"Italienne, Pizza",€
320. Fraschetteria Giampiccolo,895 avis,"Italienne, Méditerranéenne",€
321. Le Tavernelle,1 774 avis,"Italienne, Méditerranéenne",€€-€€€
322. La Pergola,2 643 avis,"Italienne, Fruits de mer et poisson",€€€€
323. Knick Knack Yoda,691 avis,"Cuisine de rue (street food), Italie du Centre",€
324. Il cavalluccio marino,1 244 avis,Fruits de mer et poisson,€€-€€€
325. Rosso Tiziano,469 avis,"Italienne, Pizza",€€-€€€
326. Acacie e Pepe - Cucina e cicchetti,161 avis,"Italienne, Méditerranéenne",€€-€€€
327. Pizzium - Roma via Piave,938 avis,"Italienne, Pizza",€€-€€€
328. Pizza in Trevi,2 181 avis,"Italienne, Pizza",€
329. Pantha Rei,1 730 avis,"Italienne, Pizza",€€-€€€
330. Ristorante Lin,794 avis,"Chinoise, Zhejiang",€€-€€€
331. Sushita,232 avis,"Japonaise, Fruits de mer et poisson",€€-€€€
332. La Pentolaccia,1 633 avis,"Italienne, Fruits de mer et poisson",€€-€€€
333. La Dispensa dei Mellini,570 avis,"Italienne, Méditerranéenne",€€-€€€
334. Ristorante Savoia,791 avis,"Italienne, Fruits de mer et poisson",€€-€€€
335. Lepri Braceria Enoteca,276 avis,"Italienne, Steakhouse",€€-€€€
336. Le Caveau,944 avis,"Italienne, Pizza",€€-€€€
337. Sa Tanca Crostaceria,1 870 avis,"Italienne, Fruits de mer et poisson",€€€€
338. Taverna Agape,536 avis,"Fruits de mer et poisson, Méditerranéenne",€€-€€€
339. Griglieria Maremmana Bio,62 avis,"Italienne, Steakhouse",€€-€€€
340. Osteria Paquino,492 avis,"Italienne, Pizza",€€-€€€
341. Cantina 26,1 825 avis,"Italienne, Fruits de mer et poisson",€€-€€€
342. Bull Steak,1 827 avis,"Italienne, Steakhouse",€€-€€€
343. STREATART,434 avis,"Italienne, Pizza",€
344. Sapori Sardi,798 avis,"Italienne, Fruits de mer et poisson",€€-€€€
345. Patty Bistro,172 avis,"Italienne, Fruits de mer et poisson",€€-€€€
346. Feelsgood,96 avis,"Italienne, Fruits de mer et poisson",€€-€€€
347. Blend Food & Drink,150 avis,"Italienne, Bar",€€-€€€
348. Klass Restaurant,1 121 avis,"Italienne, Pizza",€€-€€€
349. Casa Sanchez,251 avis,"Mexicaine, Saine",€€-€€€
350. Arcade and Food,678 avis,"Italienne, Steakhouse",€€-€€€
351. Mun Sushi Bar,171 avis,"Japonaise, Fruits de mer et poisson",€€-€€€
352. 1990 Accademia Del Gusto,265 avis,"Italienne, Fruits de mer et poisson",€€-€€€
353. La Bottega di Cesare,615 avis,"Italienne, Méditerranéenne",€
354. Divin Ostilia Wine Bar,1 196 avis,"Italienne, Méditerranéenne",€€-€€€
355. Culinaria,1 551 avis,"Italienne, Méditerranéenne",€€-€€€
356. La Cucina Nazionale,2 958 avis,"Italienne, Pizza",€€-€€€
357. Trattoria Accattone,408 avis,"Italienne, Fruits de mer et poisson",€€-€€€
358. Vinea,306 avis,"Italienne, Fruits de mer et poisson",€€-€€€
359. Osteria Del Borgo,940 avis,"Italienne, Méditerranéenne",€€-€€€
360. Pizzeria Antica Stabia,1 175 avis,"Italienne, Pizza",€€-€€€
361. Osteria Pocci,348 avis,"Italienne, Méditerranéenne",€€-€€€
362. Antica Osteria di Pietra,797 avis,"Italienne, Fruits de mer et poisson",€€-€€€
363. i Clementini,2 259 avis,"Romana, Latium",€€-€€€
364. Il Desiderio Preso Per La Coda,362 avis,"Italienne, Méditerranéenne",€€-€€€
365. Metis,75 avis,"Italienne, Fruits de mer et poisson",€€€€
366. Ristorante Pinseria Al 39 da Massimo,987 avis,"Italienne, Romana",€€-€€€
367. I Monticiani,1 317 avis,"Italienne, Steakhouse",€€-€€€
368. Pizzium - Roma Via Livorno,117 avis,"Italienne, Pizza",€€-€€€
369. Pesci Fritti Trattoria,713 avis,"Italienne, Fruits de mer et poisson",€€-€€€
370. 320 Gradi,607 avis,"Italienne, Pizza",€€-€€€
371. Annapoorna INDIA - Ristorante indiano a Roma,186 avis,Indienne,€€-€€€
372. Meridionale - Trattoria a Trastevere,2 208 avis,Méditerranéenne,€€-€€€
373. Ristorante Il Piccolo Mondo,2 079 avis,"Italienne, Fruits de mer et poisson",€€-€€€
374. Layalina,236 avis,"Libanaise, Barbecue/Grillades",€€-€€€
375. Apuleius,502 avis,"Italienne, Méditerranéenne",€€-€€€
376. La Treggia,497 avis,"Italienne, Pizza",€€-€€€
377. Ristorante Cotto,3 204 avis,"Italienne, Romana",€€-€€€
378. Vero Food - Ludovisi,162 avis,"Italienne, Café",€€-€€€
379. Zerosettantacinque,1 691 avis,"Pizza, Internationale",€€-€€€
380. Casette di Campagna,2 219 avis,"Italienne, Pizza",€€€€
381. La Famiglia,3 031 avis,"Italienne, Pizza",€€-€€€
382. Trattoria Coriolano,387 avis,"Italienne, Fruits de mer et poisson",€€-€€€
383. Bar La Licata,908 avis,"Italienne, Bar",€
384. La Rosa Rossa,1 103 avis,"Italienne, Saine",€
385. Caramella,768 avis,"Italienne, Bar à bières",€€-€€€
386. Pizzeria Il Grano,833 avis,"Italienne, Pizza",€
387. Il Fellini,1 478 avis,"Italienne, Fruits de mer et poisson",€€€€
388. Renato e Luisa,1 311 avis,"Italienne, Méditerranéenne",€€-€€€
389. Quanto Basta Slow Restaurant,501 avis,"Française, Internationale",€€€€
390. Ristorante Campisi,457 avis,"Italienne, Fruits de mer et poisson",€€-€€€
391. Dar Sor Olimpio al Drago,1 181 avis,"Italienne, Méditerranéenne",€€-€€€
392. Porto Cervara Roma,653 avis,"Fruits de mer et poisson, Méditerranéenne",€€-€€€
393. Ce Stamo a Pensà,1 468 avis,"Italienne, Méditerranéenne",€
394. My BagS,448 avis,"Italienne, Restauration rapide",€
